system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,emailservice_socket_2,emailservice,socket,False,False,redis,0.9,51.11,
ours,emailservice_socket_3,emailservice,socket,False,False,frontend,0.18,47.93,
ours,productcatalogservice_cpu_1,productcatalogservice,cpu,,,,,166.31,timed out
ours,productcatalogservice_cpu_2,productcatalogservice,cpu,False,True,frontend,0.66,52.78,
ours,productcatalogservice_cpu_3,productcatalogservice,cpu,True,True,redis,0.8,54.67,
ours,productcatalogservice_delay_1,productcatalogservice,delay,False,False,redis,0.68,53.12,
ours,productcatalogservice_delay_2,productcatalogservice,delay,False,False,redis,0.7,56.95,
ours,productcatalogservice_delay_3,productcatalogservice,delay,False,False,redis,0.86,47.64,
ours,productcatalogservice_disk_1,productcatalogservice,disk,False,False,frontend,0.03,48.39,
ours,productcatalogservice_disk_2,productcatalogservice,disk,True,True,productcatalogservice,0.86,50.99,
ours,productcatalogservice_disk_3,productcatalogservice,disk,True,True,catalog-service,0.73,48.8,
ours,productcatalogservice_loss_1,productcatalogservice,loss,True,True,productcatalogservice,0.8,37.66,
ours,productcatalogservice_loss_2,productcatalogservice,loss,True,True,redis,0.65,48.2,
ours,productcatalogservice_loss_3,productcatalogservice,loss,False,False,redis,0.78,55.44,
ours,productcatalogservice_mem_1,productcatalogservice,mem,True,True,productcatalogservice,0.86,53.77,
ours,productcatalogservice_mem_2,productcatalogservice,mem,True,True,redis,0.78,57.97,
ours,productcatalogservice_mem_3,productcatalogservice,mem,False,False,adservice,0.7,50.06,
ours,productcatalogservice_socket_1,productcatalogservice,socket,True,True,catalog-service,0.73,54.94,
ours,productcatalogservice_socket_2,productcatalogservice,socket,False,False,redis,0.73,59.05,
ours,productcatalogservice_socket_3,productcatalogservice,socket,False,False,redis,0.9,56.75,
ours,recommendationservice_cpu_1,recommendationservice,cpu,False,False,frontend,0.28,55.67,
ours,recommendationservice_cpu_2,recommendationservice,cpu,False,False,frontend,0.03,59.48,
ours,recommendationservice_cpu_3,recommendationservice,cpu,False,False,frontend,0.42,59.36,
ours,recommendationservice_delay_1,recommendationservice,delay,False,False,redis,0.73,47.04,
ours,recommendationservice_delay_2,recommendationservice,delay,False,False,redis,0.63,51.9,
ours,recommendationservice_delay_3,recommendationservice,delay,False,False,currencyservice,0.4,51.21,
ours,recommendationservice_disk_1,recommendationservice,disk,False,False,redis,0.8,47.59,
ours,recommendationservice_disk_2,recommendationservice,disk,False,False,currencyservice,0.4,55.09,
ours,recommendationservice_disk_3,recommendationservice,disk,False,False,redis,0.73,66.56,
ours,recommendationservice_loss_1,recommendationservice,loss,False,False,productcatalogservice,0.8,49.0,
ours,recommendationservice_loss_2,recommendationservice,loss,False,True,redis,0.45,58.49,
ours,recommendationservice_loss_3,recommendationservice,loss,False,False,redis,0.74,52.59,
ours,recommendationservice_mem_1,recommendationservice,mem,False,False,redis,0.86,58.05,
ours,recommendationservice_mem_2,recommendationservice,mem,False,True,redis,0.58,59.51,
ours,recommendationservice_mem_3,recommendationservice,mem,True,True,redis,0.73,60.28,
ours,recommendationservice_socket_1,recommendationservice,socket,False,False,redis,0.8,49.52,
ours,recommendationservice_socket_2,recommendationservice,socket,True,True,recommendationservice,0.78,53.84,
ours,recommendationservice_socket_3,recommendationservice,socket,False,False,redis,0.63,59.47,
