system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,ts-route-service_socket_3,ts-route-service,socket,True,True,ts-route-service,0.6,70.05,
ours,ts-train-service_cpu_1,ts-train-service,cpu,False,False,ts-security-service,0.53,71.47,
ours,ts-train-service_cpu_2,ts-train-service,cpu,False,False,ts-order-service,0.6,70.23,
ours,ts-train-service_cpu_3,ts-train-service,cpu,False,False,ts-preserve-service,0.54,75.67,
ours,ts-train-service_delay_1,ts-train-service,delay,False,False,ts-order-service,0.6,71.18,
ours,ts-train-service_delay_2,ts-train-service,delay,False,False,ts-seat-service,0.6,71.54,
ours,ts-train-service_delay_3,ts-train-service,delay,False,False,ts-travel2-service,0.49,70.69,
ours,ts-train-service_disk_1,ts-train-service,disk,True,True,ts-train-service,0.49,70.83,
ours,ts-train-service_disk_2,ts-train-service,disk,False,False,ts-order-other-mongo,0.49,73.86,
ours,ts-train-service_disk_3,ts-train-service,disk,False,False,ts-order-service,0.54,73.39,
ours,ts-train-service_loss_1,ts-train-service,loss,False,False,ts-preserve-service,0.28,77.07,
ours,ts-train-service_loss_2,ts-train-service,loss,False,False,ts-food-map-service,0.6,72.28,
ours,ts-train-service_loss_3,ts-train-service,loss,False,False,ts-travel-service,0.6,73.65,
ours,ts-train-service_mem_1,ts-train-service,mem,True,True,ts-train-service,0.6,72.39,
ours,ts-train-service_mem_2,ts-train-service,mem,True,True,ts-train-service,0.6,72.19,
ours,ts-train-service_mem_3,ts-train-service,mem,True,True,ts-train-service,0.6,70.67,
ours,ts-train-service_socket_1,ts-train-service,socket,True,True,ts-train-service,0.6,60.38,
ours,ts-train-service_socket_2,ts-train-service,socket,True,True,ts-train-service,0.53,70.28,
ours,ts-train-service_socket_3,ts-train-service,socket,False,False,ts-auth-service,0.41,71.73,
ours,ts-travel-service_cpu_1,ts-travel-service,cpu,False,True,ts-inside-payment-service,0.49,61.88,
ours,ts-travel-service_cpu_2,ts-travel-service,cpu,True,True,ts-travel-service,0.6,70.11,
ours,ts-travel-service_cpu_3,ts-travel-service,cpu,True,True,ts-travel-service,0.6,70.25,
ours,ts-travel-service_delay_1,ts-travel-service,delay,True,True,ts-travel-service,0.44,71.79,
ours,ts-travel-service_delay_2,ts-travel-service,delay,True,True,ts-travel-service,0.57,75.14,
ours,ts-travel-service_delay_3,ts-travel-service,delay,True,True,ts-travel-service,0.6,70.71,
ours,ts-travel-service_disk_1,ts-travel-service,disk,True,True,ts-travel-service,0.6,71.95,
ours,ts-travel-service_disk_2,ts-travel-service,disk,True,True,ts-travel-service,0.6,61.57,
ours,ts-travel-service_disk_3,ts-travel-service,disk,True,True,ts-travel-service,0.6,61.52,
ours,ts-travel-service_loss_1,ts-travel-service,loss,False,False,ts-auth-service,0.48,72.6,
ours,ts-travel-service_loss_2,ts-travel-service,loss,True,True,ts-travel-service,0.6,71.53,
ours,ts-travel-service_loss_3,ts-travel-service,loss,True,True,ts-preserve-service,0.54,77.12,
ours,ts-travel-service_mem_1,ts-travel-service,mem,True,True,ts-travel-service,0.6,62.82,
ours,ts-travel-service_mem_2,ts-travel-service,mem,True,True,ts-travel-service,0.6,64.33,
ours,ts-travel-service_mem_3,ts-travel-service,mem,True,True,ts-travel-service,0.6,70.71,
ours,ts-travel-service_socket_1,ts-travel-service,socket,,,,,120.02,timed out
ours,ts-travel-service_socket_2,ts-travel-service,socket,True,True,ts-travel-service,0.6,73.33,
ours,ts-travel-service_socket_3,ts-travel-service,socket,True,True,ts-travel-service,0.6,72.38,
