system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,ts-route-service_cpu_3,ts-route-service,cpu,True,True,ts-route-service,0.6,57.92,
ours,ts-route-service_delay_1,ts-route-service,delay,True,True,ts-admin-travel-service,0.6,75.27,
ours,ts-route-service_delay_2,ts-route-service,delay,False,False,ts-consign-price-service,0.6,73.75,
ours,ts-route-service_delay_3,ts-route-service,delay,True,True,ts-food-map-service,0.6,72.33,
ours,ts-route-service_disk_1,ts-route-service,disk,False,False,ts-preserve-service,0.43,82.09,
ours,ts-route-service_disk_2,ts-route-service,disk,True,True,ts-route-service,0.6,73.6,
ours,ts-route-service_disk_3,ts-route-service,disk,True,True,ts-route-service,0.58,76.15,
ours,ts-route-service_loss_1,ts-route-service,loss,True,True,ts-preserve-service,0.6,77.48,
ours,ts-route-service_loss_2,ts-route-service,loss,False,False,ts-travel-service,0.6,89.13,
ours,ts-route-service_loss_3,ts-route-service,loss,False,False,ts-preserve-service,0.6,80.72,
ours,ts-route-service_mem_1,ts-route-service,mem,True,True,ts-route-service,0.6,71.57,
ours,ts-route-service_mem_2,ts-route-service,mem,True,True,ts-route-service,0.6,70.33,
ours,ts-route-service_mem_3,ts-route-service,mem,True,True,ts-route-service,0.6,65.04,
ours,ts-route-service_socket_1,ts-route-service,socket,True,True,ts-route-service,0.6,69.83,
ours,ts-route-service_socket_2,ts-route-service,socket,False,False,ts-preserve-service,0.28,69.46,
ours,ts-route-service_socket_3,ts-route-service,socket,True,True,ts-route-service,0.6,73.04,
ours,ts-train-service_cpu_1,ts-train-service,cpu,True,True,ts-train-service,0.6,70.5,
ours,ts-train-service_cpu_2,ts-train-service,cpu,False,False,ts-order-service,0.6,68.86,
ours,ts-train-service_cpu_3,ts-train-service,cpu,True,True,ts-train-service,0.6,71.44,
ours,ts-train-service_delay_1,ts-train-service,delay,True,True,ts-contacts-service,0.6,72.78,
ours,ts-train-service_delay_2,ts-train-service,delay,True,True,ts-assurance-service,0.6,71.51,
ours,ts-train-service_delay_3,ts-train-service,delay,False,False,ts-travel-service,0.6,75.43,
ours,ts-train-service_disk_1,ts-train-service,disk,True,True,ts-train-service,0.6,69.52,
ours,ts-train-service_disk_2,ts-train-service,disk,True,True,ts-train-service,0.6,69.53,
ours,ts-train-service_disk_3,ts-train-service,disk,True,True,ts-train-service,0.6,64.62,
ours,ts-train-service_loss_1,ts-train-service,loss,False,False,ts-ticket-office-service,0.6,74.62,
ours,ts-train-service_loss_2,ts-train-service,loss,True,True,ts-food-map-service,0.6,69.07,
ours,ts-train-service_loss_3,ts-train-service,loss,False,False,ts-admin-travel-service,0.6,69.45,
ours,ts-train-service_mem_1,ts-train-service,mem,True,True,ts-train-service,0.6,72.78,
ours,ts-train-service_mem_2,ts-train-service,mem,True,True,ts-train-service,0.6,77.69,
ours,ts-train-service_mem_3,ts-train-service,mem,True,True,ts-train-service,0.6,65.59,
ours,ts-train-service_socket_1,ts-train-service,socket,True,True,ts-train-service,0.6,60.0,
ours,ts-train-service_socket_2,ts-train-service,socket,True,True,ts-train-service,0.6,64.16,
ours,ts-train-service_socket_3,ts-train-service,socket,True,True,ts-train-service,0.6,64.88,
ours,ts-travel-service_cpu_1,ts-travel-service,cpu,True,True,ts-travel-service,0.6,75.03,
ours,ts-travel-service_cpu_2,ts-travel-service,cpu,True,True,ts-travel-service,0.6,74.07,
ours,ts-travel-service_cpu_3,ts-travel-service,cpu,True,True,ts-travel-service,0.6,71.75,
ours,ts-travel-service_delay_1,ts-travel-service,delay,False,False,ts-admin-travel-service,0.6,71.45,
ours,ts-travel-service_delay_2,ts-travel-service,delay,False,False,ts-admin-travel-service,0.45,84.42,
ours,ts-travel-service_delay_3,ts-travel-service,delay,True,True,ts-payment-service,0.55,83.18,
ours,ts-travel-service_disk_1,ts-travel-service,disk,True,True,ts-travel-service,0.6,71.44,
ours,ts-travel-service_disk_2,ts-travel-service,disk,True,True,ts-travel-service,0.6,59.77,
ours,ts-travel-service_disk_3,ts-travel-service,disk,True,True,ts-travel-service,0.6,71.83,
ours,ts-travel-service_loss_1,ts-travel-service,loss,False,False,ts-auth-service,0.6,78.66,
ours,ts-travel-service_loss_2,ts-travel-service,loss,True,True,ts-travel-service,0.6,81.12,
ours,ts-travel-service_loss_3,ts-travel-service,loss,True,True,ts-admin-travel-service,0.68,79.69,
ours,ts-travel-service_mem_1,ts-travel-service,mem,True,True,ts-travel-service,0.6,81.0,
ours,ts-travel-service_mem_2,ts-travel-service,mem,True,True,ts-travel-service,0.6,67.13,
ours,ts-travel-service_mem_3,ts-travel-service,mem,True,True,ts-travel-service,0.6,76.95,
ours,ts-travel-service_socket_1,ts-travel-service,socket,True,True,ts-travel-service,0.6,72.7,
ours,ts-travel-service_socket_2,ts-travel-service,socket,True,True,ts-travel-service,0.6,69.61,
ours,ts-travel-service_socket_3,ts-travel-service,socket,True,True,ts-travel-service,0.6,79.66,
