system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,productcatalogservice_loss_3,productcatalogservice,loss,,,,,0.02,Port 18000 in use
ours,productcatalogservice_mem_1,productcatalogservice,mem,False,True,cartservice,0.3,40.94,
ours,productcatalogservice_mem_2,productcatalogservice,mem,False,False,frontend,0.15,44.4,
ours,productcatalogservice_mem_3,productcatalogservice,mem,,,,,0.02,Port 18000 in use
ours,productcatalogservice_socket_1,productcatalogservice,socket,False,False,frontend,0.15,41.21,
ours,productcatalogservice_socket_2,productcatalogservice,socket,True,True,productcatalogservice,0.45,46.02,
ours,productcatalogservice_socket_3,productcatalogservice,socket,,,,,0.0,Port 18000 in use
ours,recommendationservice_cpu_1,recommendationservice,cpu,False,False,frontend,0.15,39.99,
ours,recommendationservice_cpu_2,recommendationservice,cpu,True,True,recommendationservice,0.7,49.6,
ours,recommendationservice_cpu_3,recommendationservice,cpu,False,False,cartservice,0.53,44.62,
ours,recommendationservice_delay_1,recommendationservice,delay,,,,,0.0,Port 18000 in use
ours,recommendationservice_delay_2,recommendationservice,delay,False,True,cartservice,0.4,44.44,
ours,recommendationservice_delay_3,recommendationservice,delay,,,,,0.0,Port 18000 in use
ours,recommendationservice_disk_1,recommendationservice,disk,,,,,0.01,Port 18000 in use
ours,recommendationservice_disk_2,recommendationservice,disk,True,True,recommendationservice,0.5,46.5,
ours,recommendationservice_disk_3,recommendationservice,disk,,,,,0.0,Port 18000 in use
ours,recommendationservice_loss_1,recommendationservice,loss,True,True,recommendationservice,0.4,40.49,
ours,recommendationservice_loss_2,recommendationservice,loss,,,,,0.0,Port 18000 in use
ours,recommendationservice_loss_3,recommendationservice,loss,True,True,recommendationservice,0.4,45.12,
ours,recommendationservice_mem_1,recommendationservice,mem,True,True,recommendationservice,0.3,43.2,
ours,recommendationservice_mem_2,recommendationservice,mem,,,,,0.0,Port 18000 in use
ours,recommendationservice_mem_3,recommendationservice,mem,False,False,frontend,0.28,46.39,
ours,recommendationservice_socket_1,recommendationservice,socket,True,True,recommendationservice,0.66,44.4,
ours,recommendationservice_socket_2,recommendationservice,socket,False,False,cartservice,0.4,48.06,
ours,recommendationservice_socket_3,recommendationservice,socket,,,,,0.0,Port 18000 in use
