system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,productcatalogservice_socket_3,productcatalogservice,socket,False,False,frontend,0.73,41.33,
ours,recommendationservice_cpu_1,recommendationservice,cpu,True,True,recommendationservice,0.48,39.42,
ours,recommendationservice_cpu_2,recommendationservice,cpu,False,False,cartservice,0.35,37.82,
ours,recommendationservice_cpu_3,recommendationservice,cpu,False,False,shippingservice,0.68,40.88,
ours,recommendationservice_delay_1,recommendationservice,delay,False,False,frontend,0.15,39.09,
ours,recommendationservice_delay_2,recommendationservice,delay,True,True,recommendationservice,0.47,43.59,
ours,recommendationservice_delay_3,recommendationservice,delay,False,False,currencyservice,0.4,41.01,
ours,recommendationservice_disk_1,recommendationservice,disk,False,False,currencyservice,0.53,41.55,
ours,recommendationservice_disk_2,recommendationservice,disk,True,True,recommendationservice,0.73,38.04,
ours,recommendationservice_disk_3,recommendationservice,disk,False,False,frontend,0.43,38.83,
ours,recommendationservice_loss_1,recommendationservice,loss,False,False,productcatalogservice,0.8,38.74,
ours,recommendationservice_loss_2,recommendationservice,loss,False,False,productcatalogservice,0.68,42.31,
ours,recommendationservice_loss_3,recommendationservice,loss,False,False,productcatalogservice,0.83,41.18,
ours,recommendationservice_mem_1,recommendationservice,mem,True,True,recommendationservice,0.93,36.14,
ours,recommendationservice_mem_2,recommendationservice,mem,False,True,currencyservice,0.52,42.35,
ours,recommendationservice_mem_3,recommendationservice,mem,True,True,recommendationservice,0.8,44.6,
ours,recommendationservice_socket_1,recommendationservice,socket,True,True,recommendationservice,0.68,34.68,
ours,recommendationservice_socket_2,recommendationservice,socket,True,True,recommendationservice,0.73,42.78,
ours,recommendationservice_socket_3,recommendationservice,socket,True,True,recommendationservice,0.63,40.46,
