system,case,gt_service,gt_fault,ac_at_1,ac_at_3,top_cause_service,top_confidence,elapsed_seconds,error
ours,currencyservice_disk_2,currencyservice,disk,True,True,currencyservice,0.28,29.23,
ours,currencyservice_disk_3,currencyservice,disk,True,True,currencyservice,0.6,26.31,
ours,currencyservice_loss_1,currencyservice,loss,True,True,currencyservice,0.6,26.72,
ours,currencyservice_loss_2,currencyservice,loss,True,True,currencyservice,0.6,27.35,
ours,currencyservice_loss_3,currencyservice,loss,True,True,currencyservice,0.6,30.71,
ours,currencyservice_mem_1,currencyservice,mem,True,True,currencyservice,0.6,23.31,
ours,currencyservice_mem_2,currencyservice,mem,True,True,currencyservice,0.6,28.11,
ours,currencyservice_mem_3,currencyservice,mem,True,True,currencyservice,0.6,21.98,
ours,currencyservice_socket_1,currencyservice,socket,False,False,cartservice,0.6,29.78,
ours,currencyservice_socket_2,currencyservice,socket,True,True,currencyservice,0.6,30.21,
ours,currencyservice_socket_3,currencyservice,socket,True,True,frontend,0.6,26.83,
ours,emailservice_cpu_1,emailservice,cpu,True,True,emailservice,0.6,24.49,
ours,emailservice_cpu_2,emailservice,cpu,True,True,emailservice,0.6,23.0,
ours,emailservice_cpu_3,emailservice,cpu,True,True,emailservice,0.6,23.49,
ours,emailservice_delay_1,emailservice,delay,False,False,frontend,0.43,27.85,
ours,emailservice_delay_2,emailservice,delay,False,False,productcatalogservice,0.6,26.04,
ours,emailservice_delay_3,emailservice,delay,False,False,checkoutservice,0.6,28.53,
ours,emailservice_disk_1,emailservice,disk,True,True,emailservice,0.6,21.64,
ours,emailservice_disk_2,emailservice,disk,True,True,emailservice,0.6,23.67,
ours,emailservice_disk_3,emailservice,disk,True,True,emailservice,0.6,26.05,
ours,emailservice_loss_1,emailservice,loss,False,False,checkoutservice,0.6,24.43,
ours,emailservice_loss_2,emailservice,loss,False,False,redis,0.6,28.1,
ours,emailservice_loss_3,emailservice,loss,True,True,emailservice,0.6,28.38,
ours,emailservice_mem_1,emailservice,mem,True,True,emailservice,0.6,28.42,
ours,emailservice_mem_2,emailservice,mem,True,True,emailservice,0.6,24.18,
ours,emailservice_mem_3,emailservice,mem,False,False,currencyservice,0.4,25.23,
ours,emailservice_socket_1,emailservice,socket,True,True,emailservice,0.6,25.15,
ours,emailservice_socket_2,emailservice,socket,True,True,emailservice,0.6,21.72,
ours,emailservice_socket_3,emailservice,socket,True,True,emailservice,0.6,25.15,
ours,productcatalogservice_cpu_1,productcatalogservice,cpu,True,True,productcatalogservice,0.6,25.06,
ours,productcatalogservice_cpu_2,productcatalogservice,cpu,True,True,productcatalogservice,0.6,24.32,
ours,productcatalogservice_cpu_3,productcatalogservice,cpu,True,True,productcatalogservice,0.6,28.84,
ours,productcatalogservice_delay_1,productcatalogservice,delay,True,True,frontend,0.48,22.87,
ours,productcatalogservice_delay_2,productcatalogservice,delay,False,False,frontend,0.48,26.62,
ours,productcatalogservice_delay_3,productcatalogservice,delay,True,True,productcatalogservice,0.86,21.62,
ours,productcatalogservice_disk_1,productcatalogservice,disk,True,True,productcatalogservice,0.6,34.64,
ours,productcatalogservice_disk_2,productcatalogservice,disk,True,True,productcatalogservice,0.6,22.93,
ours,productcatalogservice_disk_3,productcatalogservice,disk,True,True,productcatalogservice,0.6,21.0,
ours,productcatalogservice_loss_1,productcatalogservice,loss,False,False,frontend,0.6,26.16,
ours,productcatalogservice_loss_2,productcatalogservice,loss,False,False,adservice,0.6,28.77,
ours,productcatalogservice_loss_3,productcatalogservice,loss,False,False,recommendationservice,0.6,31.84,
ours,productcatalogservice_mem_1,productcatalogservice,mem,True,True,productcatalogservice,0.6,20.93,
ours,productcatalogservice_mem_2,productcatalogservice,mem,True,True,productcatalogservice,0.6,23.34,
ours,productcatalogservice_mem_3,productcatalogservice,mem,True,True,productcatalogservice,0.6,27.31,
ours,productcatalogservice_socket_1,productcatalogservice,socket,True,True,productcatalogservice,0.6,19.82,
ours,productcatalogservice_socket_2,productcatalogservice,socket,True,True,productcatalogservice,0.6,24.51,
ours,productcatalogservice_socket_3,productcatalogservice,socket,True,True,productcatalogservice,0.6,23.18,
ours,recommendationservice_cpu_1,recommendationservice,cpu,True,True,recommendationservice,0.6,23.03,
ours,recommendationservice_cpu_2,recommendationservice,cpu,True,True,recommendationservice,0.6,28.16,
ours,recommendationservice_cpu_3,recommendationservice,cpu,True,True,recommendationservice,0.6,21.05,
ours,recommendationservice_delay_1,recommendationservice,delay,True,True,recommendationservice,0.6,19.61,
ours,recommendationservice_delay_2,recommendationservice,delay,True,True,recommendationservice,0.6,22.69,
ours,recommendationservice_delay_3,recommendationservice,delay,True,True,recommendationservice,0.6,23.01,
ours,recommendationservice_disk_1,recommendationservice,disk,True,True,recommendationservice,0.6,29.49,
ours,recommendationservice_disk_2,recommendationservice,disk,True,True,recommendationservice,0.6,26.71,
ours,recommendationservice_disk_3,recommendationservice,disk,True,True,recommendationservice,0.6,25.18,
ours,recommendationservice_loss_1,recommendationservice,loss,True,True,checkoutservice,0.6,30.27,
ours,recommendationservice_loss_2,recommendationservice,loss,False,False,cartservice,0.6,25.96,
ours,recommendationservice_loss_3,recommendationservice,loss,False,False,adservice,0.6,29.6,
ours,recommendationservice_mem_1,recommendationservice,mem,True,True,recommendationservice,0.6,20.86,
ours,recommendationservice_mem_2,recommendationservice,mem,True,True,recommendationservice,0.6,25.21,
ours,recommendationservice_mem_3,recommendationservice,mem,True,True,recommendationservice,0.6,22.85,
ours,recommendationservice_socket_1,recommendationservice,socket,True,True,recommendationservice,0.6,21.75,
ours,recommendationservice_socket_2,recommendationservice,socket,True,True,recommendationservice,0.6,22.01,
ours,recommendationservice_socket_3,recommendationservice,socket,True,True,recommendationservice,0.6,23.71,
